sample_id	donor_id	bam	strandness	read_length
DD025OP2	DD025OP2	/projects/talisman/shared-data/HAEC-185/bams/DD025OP2.markdup.sorted.bam	rf	101
NJ11	NJ11	/projects/talisman/shared-data/HAEC-185/bams/NJ11.markdup.sorted.bam	rf	101
DD079PP2	DD079PP2	/projects/talisman/shared-data/HAEC-185/bams/DD079PP2.markdup.sorted.bam	rf	101
UNM5	UNM5	/projects/talisman/shared-data/HAEC-185/bams/UNM5.markdup.sorted.bam	rf	101
DD033PP2	DD033PP2	/projects/talisman/shared-data/HAEC-185/bams/DD033PP2.markdup.sorted.bam	rf	101
T50	T50	/projects/talisman/shared-data/HAEC-185/bams/T50.markdup.sorted.bam	rf	101
DD052PP2	DD052PP2	/projects/talisman/shared-data/HAEC-185/bams/DD052PP2.markdup.sorted.bam	rf	101
DD044N	DD044N	/projects/talisman/shared-data/HAEC-185/bams/DD044N.markdup.sorted.bam	rf	101
DD005RP2	DD005RP2	/projects/talisman/shared-data/HAEC-185/bams/DD005RP2.markdup.sorted.bam	rf	101
DD045J	DD045J	/projects/talisman/shared-data/HAEC-185/bams/DD045J.markdup.sorted.bam	rf	101
DD005QP2	DD005QP2	/projects/talisman/shared-data/HAEC-185/bams/DD005QP2.markdup.sorted.bam	rf	101
DD057PP2	DD057PP2	/projects/talisman/shared-data/HAEC-185/bams/DD057PP2.markdup.sorted.bam	rf	101
DD043OP2	DD043OP2	/projects/talisman/shared-data/HAEC-185/bams/DD043OP2.markdup.sorted.bam	rf	101
DD063OP2	DD063OP2	/projects/talisman/shared-data/HAEC-185/bams/DD063OP2.markdup.sorted.bam	rf	101
UNM30	UNM30	/projects/talisman/shared-data/HAEC-185/bams/UNM30.markdup.sorted.bam	rf	101
DD020PP2	DD020PP2	/projects/talisman/shared-data/HAEC-185/bams/DD020PP2.markdup.sorted.bam	rf	101
DD047PP2	DD047PP2	/projects/talisman/shared-data/HAEC-185/bams/DD047PP2.markdup.sorted.bam	rf	101
DD034OP2	DD034OP2	/projects/talisman/shared-data/HAEC-185/bams/DD034OP2.markdup.sorted.bam	rf	101
DD072PP2	DD072PP2	/projects/talisman/shared-data/HAEC-185/bams/DD072PP2.markdup.sorted.bam	rf	101
DD022PP2	DD022PP2	/projects/talisman/shared-data/HAEC-185/bams/DD022PP2.markdup.sorted.bam	rf	101
DD046PP2	DD046PP2	/projects/talisman/shared-data/HAEC-185/bams/DD046PP2.markdup.sorted.bam	rf	101
DD038QP2	DD038QP2	/projects/talisman/shared-data/HAEC-185/bams/DD038QP2.markdup.sorted.bam	rf	101
DD027NP2	DD027NP2	/projects/talisman/shared-data/HAEC-185/bams/DD027NP2.markdup.sorted.bam	rf	101
DD025PP2	DD025PP2	/projects/talisman/shared-data/HAEC-185/bams/DD025PP2.markdup.sorted.bam	rf	101
DD006QP2	DD006QP2	/projects/talisman/shared-data/HAEC-185/bams/DD006QP2.markdup.sorted.bam	rf	101
UNM13	UNM13	/projects/talisman/shared-data/HAEC-185/bams/UNM13.markdup.sorted.bam	rf	101
